id,question_type,method,evidence_coverage,evidence_hit_rate,evidence_count,answer_proxy_rouge_l,context_words,latency_ms,retrieved_chunk_ids,trace,answer_proxy
Medical-73586ddc,Fact Retrieval,vector,1.0,1.0,1,0.4390243902439025,538,2.6424500028952025,"[27, 0, 43]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [27, 0, 43]}","Key points Squamous cell skin cancer is the second most common type of skin cancer. It is the second most common type of skin cancer, after basal cell carcinoma."
Medical-73586ddc,Fact Retrieval,light_proxy,1.0,1.0,1,0.4285714285714285,901,2.712255001824815,"[27, 0, 44, 43, 5]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [27, 0, 43, 44, 5, 31, 41, 1087]}",Key points Squamous cell skin cancer is the second most common type of skin cancer. Key points Squamous cell skin cancer is the second most common type of skin cancer.
Medical-73586ddc,Fact Retrieval,path_proxy,1.0,1.0,1,0.4285714285714285,1261,4.474675995879807,"[27, 0, 44, 43, 5, 31, 41]","{""strategy"": ""relation_path_proxy"", ""paths"": [[27, 0], [27, 43], [27, 44], [0, 27, 43], [0, 27, 44], [43, 44]]}",Key points Squamous cell skin cancer is the second most common type of skin cancer. Key points Squamous cell skin cancer is the second most common type of skin cancer.
Medical-a8bad1cf,Fact Retrieval,vector,0.65,0.5,2,0.1935483870967742,536,1.9302330038044602,"[0, 6, 27]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [0, 6, 27]}",What is basal cell skin cancer? About basal cell skin cancer What is basal cell skin cancer?
Medical-a8bad1cf,Fact Retrieval,light_proxy,0.65,0.5,2,0.1935483870967742,902,2.379687000939157,"[0, 5, 4, 6, 27]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [0, 6, 27, 4, 5, 3, 28, 1]}",What is basal cell skin cancer? About basal cell skin cancer What is basal cell skin cancer?
Medical-a8bad1cf,Fact Retrieval,path_proxy,0.65,0.5,2,0.22222222222222224,1260,3.6866349983029068,"[0, 6, 4, 27, 5, 1, 3]","{""strategy"": ""relation_path_proxy"", ""paths"": [[0, 6], [0, 27], [0, 4], [6, 27], [6, 5, 4], [27, 5, 4]]}",To find out how basal cell skin What is basal cell skin cancer?
Medical-422500d5,Fact Retrieval,vector,0.8928571428571429,1.0,4,0.0,540,1.7295819998253137,"[0, 6, 4]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [0, 6, 4]}",What is basal cell skin cancer? About basal cell skin cancer What is basal cell skin cancer?
Medical-422500d5,Fact Retrieval,light_proxy,1.0,1.0,4,0.0,907,2.3121260019252077,"[0, 4, 5, 6, 1]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [0, 6, 4, 27, 3, 5, 1, 28]}",What is basal cell skin cancer? About basal cell skin cancer What is basal cell skin cancer?
Medical-422500d5,Fact Retrieval,path_proxy,1.0,1.0,4,0.0,1260,4.918522005027626,"[0, 6, 4, 27, 5, 1, 3]","{""strategy"": ""relation_path_proxy"", ""paths"": [[0, 6], [0, 4], [0, 27], [6, 5, 4], [6, 27], [4, 5, 27]]}",To find out how basal cell skin What is basal cell skin cancer?
Medical-6d2a190d,Fact Retrieval,vector,0.8571428571428571,1.0,1,0.07407407407407408,540,1.8027920013992116,"[0, 4, 6]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [0, 4, 6]}",What is basal cell skin cancer? About basal cell skin cancer What is basal cell skin cancer?
Medical-6d2a190d,Fact Retrieval,light_proxy,0.8571428571428571,1.0,1,0.07407407407407408,907,3.032314998563379,"[0, 4, 5, 6, 1]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [0, 4, 6, 27, 5, 3, 1, 28]}",What is basal cell skin cancer? About basal cell skin cancer What is basal cell skin cancer?
Medical-6d2a190d,Fact Retrieval,path_proxy,0.8571428571428571,1.0,1,0.08695652173913043,1260,3.857871997752227,"[0, 4, 6, 27, 5, 1, 3]","{""strategy"": ""relation_path_proxy"", ""paths"": [[0, 4], [0, 6], [0, 27], [4, 5, 6], [4, 5, 27], [6, 27]]}",To find out how basal cell skin What is basal cell skin cancer?
Medical-5ad931db,Fact Retrieval,vector,0.8,1.0,1,0.1568627450980392,546,2.0813099981751293,"[5, 4, 123]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [5, 4, 123]}","Everyone has some risk for developing lung cancer. Fair skin, red or blond hair, or light eye color – People with lighter-colored skin are at a higher risk of developing skin cancer because melanin (skin pigment) filters out the sun's harmful UV rays."
Medical-5ad931db,Fact Retrieval,light_proxy,1.0,1.0,1,0.08695652173913043,906,2.4714739993214607,"[5, 4, 0, 123, 1009]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [5, 4, 123, 1009, 0, 1174, 124, 1012]}",Everyone has some risk for developing lung cancer. Everyone has some risk for developing liver cancer.
Medical-5ad931db,Fact Retrieval,path_proxy,1.0,1.0,1,0.08695652173913043,1263,4.1420380002819,"[5, 4, 123, 1009, 124, 0, 1174]","{""strategy"": ""relation_path_proxy"", ""paths"": [[5, 4], [123, 124, 1009]]}",Everyone has some risk for developing lung cancer. Everyone has some risk for developing lung cancer.
Medical-6b0f8bc4,Fact Retrieval,vector,0.6666666666666666,0.0,1,0.07692307692307691,544,2.161208998586517,"[0, 5, 6]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [0, 5, 6]}",What is basal cell skin cancer? About basal cell skin cancer What is basal cell skin cancer?
Medical-6b0f8bc4,Fact Retrieval,light_proxy,0.6666666666666666,0.0,1,0.07692307692307691,907,2.616630998090841,"[0, 5, 4, 6, 1]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [0, 5, 6, 4, 27, 3, 1, 28]}",What is basal cell skin cancer? About basal cell skin cancer What is basal cell skin cancer?
Medical-6b0f8bc4,Fact Retrieval,path_proxy,0.6666666666666666,0.0,1,0.09090909090909093,1260,3.6515530009637587,"[5, 0, 4, 6, 1, 27, 3]","{""strategy"": ""relation_path_proxy"", ""paths"": [[0, 5], [0, 6], [0, 4], [5, 6], [5, 4], [6, 5, 4]]}",To find out how basal cell skin What is basal cell skin cancer?
Medical-75c9949b,Fact Retrieval,vector,1.0,1.0,1,0.15384615384615383,544,1.6807790016173385,"[0, 5, 6]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [0, 5, 6]}",What is basal cell skin cancer? About basal cell skin cancer What is basal cell skin cancer?
Medical-75c9949b,Fact Retrieval,light_proxy,1.0,1.0,1,0.15384615384615383,907,2.368098997976631,"[0, 5, 4, 6, 1]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [0, 5, 6, 4, 9, 27, 3, 1]}",What is basal cell skin cancer? About basal cell skin cancer What is basal cell skin cancer?
Medical-75c9949b,Fact Retrieval,path_proxy,1.0,1.0,1,0.18181818181818185,1260,3.6555980041157454,"[5, 0, 4, 6, 1, 27, 3]","{""strategy"": ""relation_path_proxy"", ""paths"": [[0, 5], [0, 6], [0, 4], [5, 6], [5, 4], [6, 5, 4]]}",To find out how basal cell skin What is basal cell skin cancer?
Medical-ec091b24,Fact Retrieval,vector,0.8,1.0,1,0.22222222222222224,541,1.8298229988431558,"[5, 1174, 718]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [5, 1174, 718]}",Immune suppression – People with weakened immune systems from organ transplants or autoimmune diseases are at higher risk for basal cell skin cancer. Risk factors A risk factor is something that increases the risk of developing a disease.
Medical-ec091b24,Fact Retrieval,light_proxy,0.8,1.0,1,0.2380952380952381,897,2.4785550049273297,"[506, 5, 556, 555, 1101]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [5, 1174, 718, 1101, 506, 116, 555, 556]}",Immune suppression – People with weakened immune systems from organ transplants or autoimmune diseases are at higher risk for basal cell skin cancer. A risk factor is anything that increases your chance of getting cancer.
Medical-ec091b24,Fact Retrieval,path_proxy,0.8,1.0,1,0.22222222222222224,1253,3.801136997935828,"[1101, 718, 5, 1174, 506, 556, 555]","{""strategy"": ""relation_path_proxy"", ""paths"": [[718, 711, 1101]]}",Immune suppression – People with weakened immune systems from organ transplants or autoimmune diseases are at higher risk for basal cell skin cancer. Risk factors A risk factor is something that increases the risk of developing a disease.
Medical-8d39da2e,Fact Retrieval,vector,0.7375,0.875,8,0.0,535,1.6979240026557818,"[0, 3, 6]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [0, 3, 6]}",To find out how basal cell skin What is basal cell skin cancer?
Medical-8d39da2e,Fact Retrieval,light_proxy,0.7375,0.875,8,0.0,904,2.3769029940012842,"[0, 2, 3, 5, 4]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [0, 3, 6, 27, 2, 4, 5, 1]}",Signs and symptoms Basal cell skin To find out how basal cell skin
Medical-8d39da2e,Fact Retrieval,path_proxy,0.7375,0.875,8,0.0,1260,3.66672599921003,"[0, 3, 6, 27, 5, 4, 2]","{""strategy"": ""relation_path_proxy"", ""paths"": [[0, 3], [0, 6], [0, 27], [3, 4, 5, 6], [3, 27], [6, 27]]}",Signs and symptoms Basal cell skin To find out how basal cell skin
Medical-88c0b2ba,Fact Retrieval,vector,0.2416666666666667,0.0,6,0.05555555555555556,532,1.7545900045661256,"[449, 234, 572]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [449, 234, 572]}","Diagnostic tests Diagnostic tests are used to confirm you have cancer. Diagnostic tests include imaging scans, biopsies, and genetic tests."
Medical-88c0b2ba,Fact Retrieval,light_proxy,0.2416666666666667,0.0,6,0.05405405405405405,890,2.6172819998464547,"[449, 234, 621, 653, 572]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [449, 234, 572, 621, 0, 653, 644, 649]}",Diagnostic tests Diagnostic tests are used to confirm you have cancer. What’s the difference between a screening and diagnostic mammogram?
Medical-88c0b2ba,Fact Retrieval,path_proxy,0.4833333333333334,0.0,6,0.08695652173913045,1249,4.283078997104894,"[449, 234, 621, 572, 653, 0, 649]","{""strategy"": ""relation_path_proxy"", ""paths"": [[449, 234]]}","Diagnostic tests Diagnostic tests are used to confirm you have cancer. Basal cell skin cancer, also known as basal cell carcinoma (BCC), is the most common type of skin cancer."
Medical-a8ee8ba1,Fact Retrieval,vector,1.0,1.0,1,0.4666666666666667,544,1.9518350018188357,"[6, 0, 5]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [6, 0, 5]}",Surgery is the most common treatment for basal cell skin cancer. Surgery is the most common treatment for basal cell skin cancer.
Medical-a8ee8ba1,Fact Retrieval,light_proxy,1.0,1.0,1,0.4666666666666667,902,2.352274997974746,"[0, 6, 5, 4, 27]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [6, 0, 5, 27, 4, 3, 1, 28]}",Surgery is the most common treatment for basal cell skin cancer. Surgery is the most common treatment for basal cell skin cancer.
