feature_kind,class_weight,c_value,macro_f1,accuracy
word,,0.5,0.33170986062374047,0.5590062111801242
word,,1.0,0.3376324493619014,0.5248447204968945
word,,2.0,0.35129241744443646,0.515527950310559
word,balanced,0.5,0.40349099699603624,0.46273291925465837
word,balanced,1.0,0.393312434691745,0.45652173913043476
word,balanced,2.0,0.3969367638463071,0.45962732919254656
word_char,,0.5,0.36103410703665934,0.5403726708074534
word_char,,1.0,0.37477070951647223,0.5341614906832298
word_char,,2.0,0.3642074755998806,0.5062111801242236
word_char,balanced,0.5,0.4263325728161817,0.484472049689441
word_char,balanced,1.0,0.4139285773016433,0.4782608695652174
word_char,balanced,2.0,0.4061726562839638,0.468944099378882
